type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Юліана Дороша,2
Найпростіше укриття,null,25,так,Дрогобицький,Меденицька,Ролів,Шкільна,1
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Стрийська,44А
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Чигиринська,13
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Юліана Дороша,3
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,59
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Снопківська,35
Найпростіше укриття,null,90,так,Львівський,Львівська,Львів,Кирила Стеценка,11
Найпростіше укриття,null,90,так,Дрогобицький,Дрогобицька,Бистриця,Івана Франка,155
Найпростіше укриття,null,44,так,Львівський,Львівська,Львів,Юліана Дороша,4
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,58
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Снопківська,39
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Очаківська,5
Найпростіше укриття,null,30,так,Стрийський,Славська,Славсько,Івана Франка,10
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Снопківська,41
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Юліана Дороша,5
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Стрийська,20
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Очаківська,7
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Снопківська,43
Найпростіше укриття,null,48,так,Львівський,Львівська,Львів,Юліана Дороша,6
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Снопківська,5
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Стрийська,38
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Снопківська,8
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,54
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Костя Левицького,12
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Снопківська,9
Найпростіше укриття,null,15,так,Львівський,Львівська,Львів,Стрийська,46А
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Костя Левицького,14
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,53
Найпростіше укриття,null,54,так,Львівський,Львівська,Львів,Снопківська,7
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Стрийська,18
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,51
Найпростіше укриття,null,60,так,Львівський,Львівська,Львів,Богдана Хмельницького,273
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Костя Левицького,16
Найпростіше укриття,null,21,так,Львівський,Львівська,Львів,Костя Левицького,20
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Юліана Дороша,7А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,47
Найпростіше укриття,null,110,так,Львівський,Львівська,Львів,Замарстинівська,150
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Костя Левицького,21А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,45
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Костя Левицького,36
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Юліана Дороша,8
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Костя Левицького,38
Найпростіше укриття,null,26,так,Львівський,Львівська,Львів,Стрийська,22
Найпростіше укриття,null,39,так,Львівський,Львівська,Львів,Юліана Дороша,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Костя Левицького,42
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,42
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Костя Левицького,48
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Стуса,35
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Стрийська,24
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,38
Найпростіше укриття,null,13,так,Львівський,Львівська,Львів,Стуса,7
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Замарстинівська,162А
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Костя Левицького,52
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Тарнавського,104 Б
Найпростіше укриття,null,64,так,Львівський,Львівська,Львів,Стрийська,28
Найпростіше укриття,null,29,так,Львівський,Львівська,Львів,Юліана Романчука,1
Найпростіше укриття,null,49,так,Львівський,Львівська,Львів,Костя Левицького,50
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Замарстинівська,240
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Пасічна,37
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Тарнавського,92
Найпростіше укриття,null,11,так,Львівський,Львівська,Львів,Стрийська,3
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Кругла,7А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Костя  Левицького,2
Найпростіше укриття,null,10,так,Львівський,Львівська,Львів,Пасічна,34
Найпростіше укриття,null,10,так,Львівський,Львівська,Львів,Тарнавського,104
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Костя Левицького,15А
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Авраама Лінкольна,1
Найпростіше укриття,null,14,так,Львівський,Львівська,Львів,Стрийська,4
Найпростіше укриття,null,51,так,Львівський,Львівська,Львів,Тарнавського,104А
Найпростіше укриття,null,49,так,Львівський,Львівська,Львів,Костя Левицького,26
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Авраама Лінкольна,6
Найпростіше укриття,null,10,так,Львівський,Львівська,Львів,Пасічна,33А
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Костя Левицького,28
Найпростіше укриття,null,180,так,Львівський,Львівська,Львів,Авраама Лінкольна,6А
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Костя Левицького,29
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Юліана Романчука,10
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Авраама Лінкольна,10
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Костя Левицького,3
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Авраама Лінкольна,23
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Костя Левицького,30
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Пасічна,28
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Юліана Романчука,11
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Костя Левицького,8
Найпростіше укриття,null,46,так,Львівський,Львівська,Львів,Тарнавського,108
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Пасічна,21
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Костя Левицького,7
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Авраама Лінкольна,23А
Найпростіше укриття,null,46,так,Львівський,Львівська,Львів,Тарнавського,110
Найпростіше укриття,null,11,так,Львівський,Львівська,Львів,Стрийська,46Ц
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Юліана Романчука,12
Найпростіше укриття,null,18,так,Львівський,Львівська,Львів,Костя Левицького,5
Найпростіше укриття,null,130,так,Львівський,Львівська,Львів,Авраама Лінкольна,29
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,81
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Стрийська,1
Найпростіше укриття,null,46,так,Львівський,Львівська,Львів,Тарнавського,112
Найпростіше укриття,null,21,так,Львівський,Львівська,Львів,Костя Левицького,22
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Юліана Романчука,14
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Авраама Лінкольна,45
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,79
Найпростіше укриття,null,63,так,Львівський,Львівська,Львів,Тарнавського,118А
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Юліана Романчука,15
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,77
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Стрийська,26
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Костя Левицького,102
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Тарнавського,38
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Костя Левицького,105
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Стрийська,36А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Костя Левицького,106
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,88
Найпростіше укриття,null,316,так,Червоноградський,Червоноградська,Червоноград,Корольова,11
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Валова,13
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,92
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,96
Найпростіше укриття,null,37,так,Львівський,Перемишлянська,Перемишляни,Привокзальна ,1
Найпростіше укриття,null,680,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,2
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Тарнавського,96
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,98
Найпростіше укриття,null,78,так,Львівський,Куликівська,Куликів,Винниченка,1А
Найпростіше укриття,null,100,так,Червоноградський,Радехівська,Стоянів,Стуса,14
Найпростіше укриття,null,140,так,Львівський,Львівська,Брюховичі,Незалежності України,27
Найпростіше укриття,null,137,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,41
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Валова,14
Найпростіше укриття,null,188,так,Червоноградський,Радехівська,Бабичі,Шкільна,15
Найпростіше укриття,null,175,так,Львівський,Перемишлянська,Липівці,Миру,2
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,33
Найпростіше укриття,null,268,так,Львівський,Львівська,Брюховичі,Антона Макаренка,9
Найпростіше укриття,null,78,так,Львівський,Куликівська,Мервичі,Залізнична,1
Найпростіше укриття,null,172,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,42
Найпростіше укриття,null,41,так,Червоноградський,Радехівська,Розжалів,Садова,20
Найпростіше укриття,null,81,так,Львівський,Львівська,Львів,Валова,16
Найпростіше укриття,null,41,так,Львівський,Львівська,Львів,Пасічна,39В
Найпростіше укриття,null,350,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,1
Найпростіше укриття,null,77,так,Червоноградський,Радехівська,Станин,Миру,71
Найпростіше укриття,null,16,так,Львівський,Куликівська,Звертів,Садова,7
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,49Б
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Валова,19
Найпростіше укриття,null,145,так,Львівський,Львівська,Львів,Михайла Яцкова,15
Найпростіше укриття,null,559,так,Червоноградський,Радехівська,Павлів,Джерельна,4
Найпростіше укриття,null,338,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,5
Найпростіше укриття,null,68,так,Львівський,Перемишлянська,Костенів,Шкільна,3
Найпростіше укриття,null,51,так,Львівський,Куликівська,Сулимів,Центральна,7
Найпростіше укриття,null,17,так,Львівський,Львівська,Львів,Валова,23
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,73
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,90
Найпростіше укриття,null,17,так,Львівський,Львівська,Львів,Томашівського,3
Найпростіше укриття,null,83,так,Львівський,Куликівська,Великий Дорошів,Лисенка,1Б
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,75
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Томашівського,4
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Весела,5
Найпростіше укриття,null,60,так,Львівський,Куликівська,Віднів,Батівка ,1б
Найпростіше укриття,null,920,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,24
Найпростіше укриття,null,157,так,Червоноградський,Радехівська,Тетевчиці,Весела,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,102
Найпростіше укриття,null,34,так,Львівський,Львівська,Львів,Весела,7
Найпростіше укриття,null,500,так,Червоноградський,Радехівська,Радехів,Паркова,24
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Донецька,10
Найпростіше укриття,null,17,так,Львівський,Перемишлянська,Мерещів,Івана Франка,75
Найпростіше укриття,null,1080,так,Червоноградський,Сокальська,Сокаль,Чайковського,44
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пасічна,104
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Вірменська,7
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Томашівського,7
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Вірменська,18
Найпростіше укриття,null,42,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,29
Найпростіше укриття,null,90,так,Червоноградський,Радехівська,Немилів,Центральна,36
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Пасічна,11
Найпростіше укриття,null,18,так,Львівський,Перемишлянська,Іванівка,Львівська,49
Найпростіше укриття,null,71,так,Львівський,Куликівська,Стронятин,Підланки,62
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Томашівського,8
Найпростіше укриття,null,260,так,Червоноградський,Сокальська,Сокаль,Грегорія Сковороди,12
Найпростіше укриття,null,33,так,Червоноградський,Радехівська,Пиратин,Івана Франка,60
Найпростіше укриття,null,11,так,Львівський,Куликівська,Гребінці,І.Франка,30
Найпростіше укриття,null,191,так,Червоноградський,Радехівська,Радехів,Бічна Львівська,5
Найпростіше укриття,null,34,так,Львівський,Львівська,Львів,Вірменська,25
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,91
Найпростіше укриття,null,29,так,Львівський,Львівська,Львів,Турецька,1
Найпростіше укриття,null,50,так,Львівський,Перемишлянська,Перемишляни,Галицька,73
Найпростіше укриття,null,55,так,Червоноградський,Радехівська,Пиратин,Івана Франка,58
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Вірменська,29
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,93
Найпростіше укриття,null,960,так,Червоноградський,Сокальська,Сокаль,Тартаківська,42
Найпростіше укриття,null,76,так,Червоноградський,Радехівська,Вузлове,Галицька,2
Найпростіше укриття,null,58,так,Львівський,Львівська,Львів,Турецька,2
Найпростіше укриття,null,26,так,Львівський,Львівська,Львів,Вірменська,30
Найпростіше укриття,null,110,так,Червоноградський,Радехівська,Павлів,Джерельна ,4а
Найпростіше укриття,null,137,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,58
Найпростіше укриття,null,57,так,Львівський,Куликівська,Артасів,Яремчука,96 А
Найпростіше укриття,null,15,так,Червоноградський,Радехівська,Розжалів,Лесі Українки,9
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Вірменська,31
Найпростіше укриття,null,110,так,Львівський,Перемишлянська,Болотня,Шевченка,26
Найпростіше укриття,null,20,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,32
Найпростіше укриття,null,37,так,Червоноградський,Радехівська,Станин,Миру,71
Найпростіше укриття,null,30,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,33
Найпростіше укриття,null,60,так,Львівський,Перемишлянська,Кореличі,Перемоги,93
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Турецька,3
Найпростіше укриття,null,54,так,Червоноградський,Радехівська,Радехів,Івана Мазепи,1А
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Гавришкевича,10
Найпростіше укриття,null,140,так,Львівський,Львівська,Львів,Жовківська,14
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,10
Найпростіше укриття,null,16,так,Червоноградський,Радехівська,Тетевчиці,Піскова,5
Найпростіше укриття,null,65,так,Львівський,Перемишлянська,Станимир,Шкільна,1
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Тютюнників,1
Найпростіше укриття,null,30,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,3
Найпростіше укриття,null,35,так,Червоноградський,Радехівська,Бишів,Гостинна,57
Найпростіше укриття,null,38,так,Львівський,Львівська,Львів,Пекарська,12
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Жовківська,15
Найпростіше укриття,null,170,так,Червоноградський,Радехівська,Новий Витків,Корчинська,3
Найпростіше укриття,null,15,так,Львівський,Львівська,Львів,Тютюнників,12
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,13
Найпростіше укриття,null,33,так,Львівський,Львівська,Львів,Газова,12
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Жовківська,16
Найпростіше укриття,null,112,так,Червоноградський,Радехівська,Полове,Набережного,3А
Найпростіше укриття,null,45,так,Львівський,Перемишлянська,Бачів,Нова,8
Найпростіше укриття,null,18,так,Львівський,Львівська,Львів,Газова,5
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,14
Найпростіше укриття,null,398,так,Львівський,Оброшинська,Оброшине,Шевченка,5
Найпростіше укриття,null,40,так,Червоноградський,Радехівська,Сушно,Шевченка,1
Найпростіше укриття,null,50,так,Львівський,Зимноводівська,Лапаївка,Геофізиків,21
Найпростіше укриття,null,53,так,Червоноградський,Сокальська,Сокаль,Шептицького,149
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Жовківська,17
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Газова,8
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,15
Найпростіше укриття,null,25,так,Червоноградський,Радехівська,Стоянів,Тарнавського,17
Найпростіше укриття,null,38,так,Львівський,Оброшинська,Оброшине,Самбірська,1
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Тютюнників,25
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,16
Найпростіше укриття,null,29,так,Львівський,Львівська,Львів,Галицька,19
Найпростіше укриття,null,559,так,Червоноградський,Радехівська,Дмитрів,Шевченка,75
Найпростіше укриття,null,90,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,43
Найпростіше укриття,null,140,так,Львівський,Львівська,Львів,Жовківська,17А
Найпростіше укриття,null,950,так,Львівський,Оброшинська,Оброшине,Вольського,6
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,17
Найпростіше укриття,null,87,так,Львівський,Львівська,Львів,Галицька,21
Найпростіше укриття,null,90,так,Червоноградський,Радехівська,Оглядів,Зелена,4
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Тютюнників,29
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Галицька,3
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Жовківська,24Б
Найпростіше укриття,null,120,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,44
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Пекарська,18
Найпростіше укриття,null,30,так,Червоноградський,Радехівська,Оглядів,Радехівська ,15
Найпростіше укриття,null,1020,так,Львівський,Оброшинська,Оброшине,Вольського,8
Найпростіше укриття,null,15,так,Львівський,Львівська,Львів,Галицька,5
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Тютюнників,37
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Жовківська,26
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Пекарська,2
Найпростіше укриття,null,50,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,45
Найпростіше укриття,null,36,так,Львівський,Львівська,Львів,Пекарська,20
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Тютюнників,39
Найпростіше укриття,null,685,так,Львівський,Оброшинська,Оброшине,Вольського,9
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Жовківська,3
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Гонти,5
Найпростіше укриття,null,800,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,20
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,21
Найпростіше укриття,null,26,так,Львівський,Львівська,Львів,Гонти,6
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Тютюнників,41
Найпростіше укриття,null,253,так,Львівський,Перемишлянська,Перемишляни,Привокзальна ,17
Найпростіше укриття,null,50,так,Львівський,Оброшинська,Конопниця,Городоцька,2
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Пекарська,22
Найпростіше укриття,null,29,так,Львівський,Львівська,Львів,Городоцька,12
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Тютюнників,51
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Пекарська,24
Найпростіше укриття,null,120,так,Львівський,Львівська,Львів,Жовківська,5
Найпростіше укриття,null,35,так,Львівський,Перемишлянська,Вовків,Шкільна,4
Найпростіше укриття,null,30,так,Червоноградський,Сокальська,Сокаль,Міцкевича,1
Найпростіше укриття,null,340,так,Львівський,Оброшинська,Оброшине,Вольського,7
Найпростіше укриття,null,230,так,Львівський,Львівська,Львів,Жовківська,57
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Тютюнників,53
Найпростіше укриття,null,832,так,Червоноградський,Червоноградська,Червоноград,Клюсівська,19А
Найпростіше укриття,null,320,так,Львівський,Перемишлянська,Перемишляни,Гальцька,32
Найпростіше укриття,null,95,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,10
Найпростіше укриття,null,18,так,Львівський,Львівська,Львів,Городоцька,14
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,25
Найпростіше укриття,null,300,так,Львівський,Оброшинська,Оброшине,Вольського,10
Найпростіше укриття,null,11,так,Львівський,Львівська,Львів,Тютюнників,6
Найпростіше укриття,null,115,так,Червоноградський,Червоноградська,Червоноград,Клюсівська,3
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Городоцька,16
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Пекарська,26
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Жовківська,7
Найпростіше укриття,null,50,так,Львівський,Перемишлянська,Ганачівка,Шкільна,2
Найпростіше укриття,null,466,так,Червоноградський,Червоноградська,Червоноград,Корольова,11
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Городоцька,4
Найпростіше укриття,null,383,так,Червоноградський,Червоноградська,Червоноград,Корольова,11
Найпростіше укриття,null,560,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,26
Найпростіше укриття,null,280,так,Львівський,Оброшинська,Оброшине,Вольського,9
Найпростіше укриття,null,50,так,Львівський,Перемишлянська,Перемишляни,Привокзальна ,3
Найпростіше укриття,null,45,так,Червоноградський,Червоноградська,Межиріччя,Шкільна,26
Найпростіше укриття,null,120,так,Львівський,Львівська,Львів,Жовківська,9
Найпростіше укриття,null,11,так,Львівський,Львівська,Львів,Гуцульська,3
Найпростіше укриття,null,1000,так,Львівський,Оброшинська,Оброшине,Грушевського,5
Найпростіше укриття,null,106,так,Червоноградський,Червоноградська,Соснівка,Театральна,14А
Найпростіше укриття,null,10,так,Львівський,Львівська,Львів,Тютюнників,10
Найпростіше укриття,null,116,так,Червоноградський,Червоноградська,Червоноград,Шухевича,1
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Данила Галицького,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,27
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Софії Яблонської,11
Найпростіше укриття,null,380,так,Червоноградський,Червоноградська,Сілець,Нова,1
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Тютюнників,21
Найпростіше укриття,null,90,так,Львівський,Перемишлянська,Осталовичі,Нова,1
Найпростіше укриття,null,43,так,Львівський,Львівська,Львів,Пекарська,28
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Данила Галицького,12
Найпростіше укриття,null,70,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,46
Найпростіше укриття,null,123,так,Червоноградський,Червоноградська,Червоноград,Грінченка,9
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Софії Яблонської,13
Найпростіше укриття,null,57,так,Львівський,Львівська,Львів,Данила Галицького,2
Найпростіше укриття,null,180,так,Львівський,Оброшинська,Ставчани,Шашкевича,41
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,29
Найпростіше укриття,null,40,так,Червоноградський,Червоноградська,Червоноград,Грінченка,9
Найпростіше укриття,null,60,так,Львівський,Львівська,Львів,Софії Яблонської,16
Найпростіше укриття,null,950,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,57
Найпростіше укриття,null,34,так,Львівський,Львівська,Львів,Данила Галицького,3
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,3
Найпростіше укриття,null,350,так,Львівський,Оброшинська,Оброшине,Вольського,2
Найпростіше укриття,null,50,так,Червоноградський,Червоноградська,Соснівка,Театральна,14А
Найпростіше укриття,null,167,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,31
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Тютюнників,26
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Софії Яблонської,24
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,31
Найпростіше укриття,null,50,так,Червоноградський,Червоноградська,Червоноград,Шухевича,1
Найпростіше укриття,null,400,так,Львівський,Оброшинська,Оброшине,Вольського,3
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Тютюнників,28
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Софії Яблонської,26
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Джерельна,10
Найпростіше укриття,null,21,так,Львівський,Львівська,Львів,Пекарська,32
Найпростіше укриття,null,160,так,Червоноградський,Сокальська,Сокаль,Героїв УПА,49
Найпростіше укриття,null,300,так,Червоноградський,Червоноградська,Соснівка,Галицька,3
Найпростіше укриття,null,26,так,Львівський,Львівська,Львів,Джерельна,16
Найпростіше укриття,null,35,так,Львівський,Перемишлянська,Дусанів,Січових Стрільців,23
Найпростіше укриття,null,400,так,Львівський,Оброшинська,Оброшине,Вольського,4
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,33
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Софії Яблонської,3
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Джерельна,2А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пекарська,34
