type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number,latitude,longitude
Найпростіше укриття,,1318,так,Львівський,Львівська,Львів,Кульчицької,18,49.81713715,23.979982962414308
Найпростіше укриття,,378,так,Львівський,Львівська,Львів,Кульпаківська,140,,
Найпростіше укриття,,64,так,Львівський,Львівська,Львів,Морозенка,8,49.84171685,24.008638572734643
Найпростіше укриття,,1006,так,Львівський,Львівська,Львів,Патона,7,49.82397845,23.965989363624054
Найпростіше укриття,,132,так,Львівський,Львівська,Львів,Гушалевича,5,49.8433639,24.009513866390144
Найпростіше укриття,,195,так,Львівський,Львівська,Львів,Івана Богуна,12,49.8320971,24.015778953931758
Найпростіше укриття,,83,так,Львівський,Львівська,Львів,Морозенка,24,49.84122695,24.006850736354497
Найпростіше укриття,,42,так,Львівський,Львівська,Львів,Морозенка,10,49.8416546,24.00840436629673
Найпростіше укриття,,112,так,Львівський,Львівська,Львів,Низинна,29,49.83909365,23.971832452802985
Найпростіше укриття,,180,так,Львівський,Львівська,Львів,Сахарова,50,49.8277301,24.010880913658248
Найпростіше укриття,,242,так,Львівський,Львівська,Львів,Виговського,43А,49.8234371,23.9674972
Найпростіше укриття,,247,так,Львівський,Львівська,Львів,Івана Богуна,15,49.832140949999996,24.016409836283195
Найпростіше укриття,,322,так,Львівський,Львівська,Львів,Виговського,75,49.8154867,23.979066907454758
Найпростіше укриття,,200,так,Львівський,Львівська,Дубляни,Тараса Шевченка,22,,
Найпростіше укриття,,117,так,Львівський,Львівська,Львів,Садова,20,49.9268907,23.9966047
Найпростіше укриття,,900,так,Львівський,Львівська,Львів,Мундяк,4,49.84826285,23.967663874254008
Найпростіше укриття,,280,так,Львівський,Львівська,Дубляни,Тараса Шевченка,23,,
Найпростіше укриття,,235,так,Львівський,Львівська,Львів,Генерала Чупринки,11А,49.8330293,24.013713205049264
Найпростіше укриття,,320,так,Львівський,Львівська,Дубляни,Тараса Шевченка,23А,,
Найпростіше укриття,,300,так,Львівський,Львівська,Дубляни,Тараса Шевченка,25,,
Найпростіше укриття,,105,так,Львівський,Львівська,Львів,Генерала Чупринки,31,49.831486350000006,24.01073250263359
Найпростіше укриття,,320,так,Львівський,Львівська,Дубляни,Тараса Шевченка,29,,
Найпростіше укриття,,950,так,Львівський,Львівська,Львів,Мундяк,8,49.84833155,23.968262998145107
Найпростіше укриття,,95,так,Львівський,Львівська,Львів,Симона Петлюри,19,49.82034885,23.977135268161618
Найпростіше укриття,,300,так,Львівський,Львівська,Дубляни,Тараса Шевченка,33,,
Найпростіше укриття,,200,так,Львівський,Львівська,Малехів,Вокзальна,9,,
Найпростіше укриття,,95,так,Львівський,Львівська,Львів,Каховська,10,49.82614635,23.953198489999984
Найпростіше укриття,,250,так,Львівський,Львівська,Брюховичі,Дитяча,8,,
